"EventDate","StreetName","lat","long","X","Y","Vomit","HumanFouling","blood","Urine"
"2012-10-18 00:00:00","OLD COMPTON STREET","51.5135438","-0.1303332","529836","181057","NO","NO","Yes","NO"
"2013-03-21 00:00:00","OLD COMPTON STREET","51.5124678","-0.1331262","529645","180933","Yes","NO","NO","NO"
"2013-08-18 00:00:00","GERRARD STREET","51.5117617","-0.1311374","529785","180858","NO","NO","NO","Yes"
"2013-09-29 00:00:00","FERMOY ROAD","51.5248572","-0.2043959","524666","182187","NO","NO","NO","Yes"
"2013-09-13 00:00:00","FERMOY ROAD","51.5248572","-0.2043959","524666","182187","NO","NO","NO","Yes"
"2013-10-01 00:00:00","FERMOY ROAD","51.5248572","-0.2043959","524666","182187","NO","NO","NO","Yes"
"2013-10-01 00:00:00","FERMOY ROAD","51.5248572","-0.2043959","524666","182187","NO","NO","NO","Yes"
"2013-10-25 00:00:00","SOUTH MOLTON LANE","51.5136881","-0.1488435","528551","181041","NO","NO","NO","Yes"
"2013-09-30 00:00:00","SOUTH MOLTON LANE","51.5136881","-0.1488435","528551","181041","NO","NO","NO","Yes"
"2013-08-27 00:00:00","SOUTH MOLTON LANE","51.5136881","-0.1488435","528551","181041","NO","Yes","NO","NO"
"2013-08-29 00:00:00","SOUTH MOLTON LANE","51.5136881","-0.1488435","528551","181041","NO","Yes","NO","NO"
"2012-07-12 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","NO","Yes","NO","NO"
"2012-07-13 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","Yes","NO","NO","NO"
"2013-06-25 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","NO","NO","NO","Yes"
"2013-02-27 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","Yes","NO","NO","NO"
"2013-06-11 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","Yes","NO","NO","NO"
"2013-05-14 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","NO","Yes","NO","NO"
"2014-01-07 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","NO","NO","NO","Yes"
"2013-08-16 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","NO","NO","NO","Yes"
"2014-02-07 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","Yes","NO","NO","NO"
"2013-04-30 00:00:00","MARYLEBONE ROAD","51.5232396","-0.1504129","528415","182100","Yes","NO","NO","NO"
